Title,Price1,product__pricing_area2
Rexona Men Antiperspirant Aerosol Advanced Invisible Ice Fresh | 220mL,$4.25,$1.93 per 100mL | Was $8.50
Dettol Soap Bar Citrus Fresh | 3 pack,$4.90,$1.63 per 1ea
Colgate Regular Pump Toothpaste | 130g,$6.00,$4.62 per 100g
Nivea Men Stress Protect Aerosol Antiperspirant Deodorant | 250mL,$7.50,$3.00 per 100mL
Garnier Hydrabomb Tissue Mask Pomegranate | 28g,$7.00,$25.00 per 100g
Vicks Vapodrop Original Menthol Lozenges | 42 pack,$8.00,$0.19 per 1ea
Schick Xtreme 3 Disposable Razors for Women | 4 pack,$5.50,$1.38 per 1ea
Dove Antiperspirant Acai Waterlily | 220mL,$8.50,$3.86 per 100mL
,$6.50,$0.33 per 1ea
Sensodyne Sensitive Daily Care Toothbrush | 3 pack,$10.50,$3.50 per 1ea
Dove Rejuvenate Pomegranate Body Wash | 1L,$17.00,$1.70 per 100mL
Libra Liners Dry & Long | 30 pack,$3.50,$0.12 per 1ea
Coles Double Sided Nail Brush | 1 pack,$2.00,$2.00 per 1ea
Coles Nail Polish Remover Acetone | 125mL,$2.80,$2.24 per 100mL
Oral-B Advantage Complete Whitening Toothbrush Medium | 1 pack,$2.00,$2.00 per 1ea | Was $4.00
Palmolive Cherry Blossom Hand Sanitiser | 48mL,$2.50,$5.21 per 100mL
Oral B Pro Health Advanced All Round Protection Toothpaste | 110g,$2.75,$2.50 per 100g | Was $5.50
Coles Denture Cleaner Tablets | 48 pack,$3.50,$0.07 per 1ea
Rexona Advanced Watermelon | 220mL,$4.25,$1.93 per 100mL | Was $8.50
Carefree Barely There G-String Unscented Panty Liners | 24 pack,$3.50,$0.15 per 1ea
Pears Transparent Soap | 3 pack,$4.80,$1.60 per 1ea | Was $7.20
Oral-B Complete Clean 5 Way Toothbrush | 3 pack,$5.00,$1.67 per 1ea
Oral B Gum Care & Bacteria Defence Toothpaste | 110g,$5.00,$4.55 per 100g | Was $10.00
Colgate Zig Zag Flex Soft Toothbrush | 1 pack,$3.00,$3.00 per 1ea
