Title,Price,product__pricing_area
McCain Lil Pizza Cheesy Margherita | 380g,$5.50,$1.45 per 100g | Was $7.00 on May 2022
Streets Splice Pine Lime 8 pack | 544mL,$6.50,$1.19 per 100mL
Steggles Frozen Sweet Chilli Chicken Breast Tenders | 400g,$6.00,$15.00 per 1kg
On The Menu Frozen Beef Lasagne | 1kg,$7.50,$7.50 per 1kg
Coles Australian Barramundi Portions | 260g,$13.50,$51.92 per 1kg
Haldirams Spinach Pakora | 283g,$6.00,$2.12 per 100g
Creative Gourmet Frozen Mixed Berries | 750g,$8.00,$1.07 per 100g
Bulla Crunch Multi Flavoured Ice Cream Sticks 8 pack | 631mL,$8.00,$1.27 per 100mL
Steggles Frozen Southern Style Chicken Breast Tenders  | 400g,$6.00,$15.00 per 1kg
Magnum Ice Cream Classic Tub | 440mL,$9.50,$2.16 per 100mL
Magnum Ice Cream White 4Pack | 428mL,$10.50,$2.45 per 100mL
McCain Red Box Tray Spaghetti Bolognese  | 400g,$4.00,$1.00 per 100g | Was $5.00
McCain Red Box Tray Fettucine Carbonara  | 375g,$4.00,$1.07 per 100g | Was $5.00
Coles Frozen Pomegranate Arils | 250g,$4.00,$1.60 per 100g
Annabel Karmel Meals Mac Cheese | 200g,$3.50,$1.75 per 100g
Coles Frozen Meat Pies 4 Pack | 700g,$5.60,$0.80 per 100g
Herbert Adams Frozen Gourmet King Island Beef In Rich Gravy Pie  2 pack | 420g,$9.00,$2.14 per 100g
Coles Party Sausage Rolls 24 Pack | 900g,$6.50,$0.72 per 100g
Bulla Creamy Classics Vanilla Sandwich 4 pack | 560mL,$9.00,$1.61 per 100mL
Coles Spinach And Cheese Spanakopita | 800g,$10.40,$1.30 per 100g
Streets Viennetta Classic Vanilla Ice Cream Cake | 650mL,$8.00,$1.23 per 100mL
Bulla Frozen Icecream Vanilla Cream Choc Bars 10 Pack | 768mL,$8.00,$1.04 per 100mL
Bulla Frozen Multi Flavoured Yoghurt Sticks 8 pack | 472g,$8.00,$1.69 per 100g
Steggles Frozen Crumbed Chicken Nuggets | 1kg,$13.00,$13.00 per 1kg
Birds Eye Frozen Steam Fresh Carrot Cauliflower & Broccoli Mix 3 pack | 450g,$3.90,$8.67 per 1kg
Coles BBQ Meat Lovers Pizza | 500g,$4.00,$0.80 per 100g
Coles French Style Cheesecake | 450g,$3.75,$0.83 per 100g
McCain Frozen Pub Style Fries | 750g,$5.50,$0.73 per 100g
Birds Eye Seasoned Sides Country Garden | 600g,$5.50,$9.17 per 1kg
Mars Chocolate Smooth Creamy Ice Bar 6 Pack | 295mL,$9.00,$3.05 per 100mL
Peters Maxibon Monster Cookie Ice Cream | 620mL,$9.50,$1.53 per 100mL
Connoisseur Ice Cream Cookies & Cream 4 Pack | 400mL,$9.50,$2.38 per 100mL
KB Frozen Prawn Hargow | 750g,$12.75,$1.70 per 100g
Pampas Frozen Filo Pastry 18-20 Sheets | 375g,$5.00,$1.33 per 100g
Coles RSPCA Approved Thai Green Chicken Curry with Long Grain Rice | 375g,$3.30,$0.88 per 100g
Zooper Dooper Fairy Floss  24x70mL | 24 pack,$5.85,$0.35 per 100mL | Was $6.50
Weis Mango Ice Cream Bars 4 Pack | 280mL,$6.00,$2.14 per 100mL | Was $8.50
Street Smokey BBQ Meatlovers Pizza | 385g,$10.80,$2.81 per 100g
Creative Gourmet Frozen Organic Acai Puree | 400g,$6.40,$16.00 per 1kg | Was $8.00
McCain Pub Size Bangers & Mash | 500g,$6.50,$1.30 per 100g | Was $8.50
Birds Eye Frozen Deli New Zealand Whiting Crisp Light Batter Fillets 5 Pack | 250g,$9.00,$3.60 per 100g
